Location,Length,Weight
Tillamook,0.0571,184.92
Tillamook,0.0813,214.73
Tillamook,0.0831,179.53
Tillamook,0.0976,215.81
Tillamook,0.0817,177.03
Tillamook,0.0859,158.16
Tillamook,0.0735,153.45
Tillamook,0.0659,198.14
Tillamook,0.0923,208.0
Tillamook,0.0836,199.03
Newport,0.0873,224.79
Newport,0.0662,198.33
Newport,0.0672,165.32
Newport,0.0819,196.56
Newport,0.0749,174.59
Newport,0.0649,169.3
Newport,0.0835,235.54
Newport,0.0725,186.0
Petersburg,0.0974,209.23
Petersburg,0.1352,236.93
Petersburg,0.0817,202.73
Petersburg,0.1016,170.24
Petersburg,0.0968,206.69
Petersburg,0.1064,192.88
Petersburg,0.105,180.87
Magadan,0.1033,222.45
Magadan,0.0915,201.08
Magadan,0.0781,183.03
Magadan,0.0685,151.04
Magadan,0.0677,159.45
Magadan,0.0697,188.11
Magadan,0.0764,194.29
Magadan,0.0689,132.36
Tvarminne,0.0703,160.38
Tvarminne,0.1026,213.73
Tvarminne,0.0956,195.59
Tvarminne,0.0973,200.63
Tvarminne,0.1039,201.13
Tvarminne,0.1045,219.53
